hash_oligo	hash_plate	cell_line	treatment	dose	replicate
plate10_A1	10	T98G	zstk474	10	replicate_2
plate10_B1	10	T98G	zstk474	10	replicate_2
plate10_C1	10	T98G	zstk474	10	replicate_2
plate10_D1	10	T98G	zstk474	10	replicate_2
plate10_E1	10	T98G	zstk474	1	replicate_2
plate10_F1	10	T98G	zstk474	1	replicate_2
plate10_G1	10	T98G	zstk474	1	replicate_2
plate10_H1	10	T98G	vehicle	0	replicate_2
plate10_A2	10	T98G	zstk474	10	replicate_2
plate10_B2	10	T98G	zstk474	10	replicate_2
plate10_C2	10	T98G	zstk474	10	replicate_2
plate10_D2	10	T98G	zstk474	10	replicate_2
plate10_E2	10	T98G	zstk474	1	replicate_2
plate10_F2	10	T98G	zstk474	1	replicate_2
plate10_G2	10	T98G	zstk474	1	replicate_2
plate10_H2	10	T98G	vehicle	0	replicate_2
plate10_A3	10	T98G	zstk474	10	replicate_2
plate10_B3	10	T98G	zstk474	10	replicate_2
plate10_C3	10	T98G	zstk474	10	replicate_2
plate10_D3	10	T98G	zstk474	10	replicate_2
plate10_E3	10	T98G	zstk474	1	replicate_2
plate10_F3	10	T98G	zstk474	1	replicate_2
plate10_G3	10	T98G	zstk474	1	replicate_2
plate10_H3	10	T98G	vehicle	0	replicate_2
plate10_A4	10	T98G	zstk474	10	replicate_2
plate10_B4	10	T98G	zstk474	10	replicate_2
plate10_C4	10	T98G	zstk474	10	replicate_2
plate10_D4	10	T98G	zstk474	10	replicate_2
plate10_E4	10	T98G	zstk474	1	replicate_2
plate10_F4	10	T98G	zstk474	1	replicate_2
plate10_G4	10	T98G	zstk474	1	replicate_2
plate10_H4	10	T98G	vehicle	0	replicate_2
plate10_A5	10	T98G	zstk474	10	replicate_2
plate10_B5	10	T98G	zstk474	10	replicate_2
plate10_C5	10	T98G	zstk474	10	replicate_2
plate10_D5	10	T98G	zstk474	10	replicate_2
plate10_E5	10	T98G	zstk474	1	replicate_2
